base_date,tenor,market,CCY,rate,roll,convention
2018/1/18,O/N,Money Market,USD,0.014375,None,act/365
2018/1/18,1W,Money Market,USD,0.0146533,None,act/365
2018/1/18,1M,Money Market,USD,0.0156118,None,act/365
2018/1/18,2M,Money Market,USD,0.0163482,None,act/365
2018/1/18,3M,Money Market,USD,0.017447,None,act/365
2018/1/18,6M,Money Market,USD,0.019255,None,act/365
2018/1/18,1Y,Money Market,USD,0.02045,6M,act/365
2018/1/18,2Y,Swap,USD,0.02257,6M,act/365
2018/1/18,3Y,Swap,USD,0.02366,6M,act/365
2018/1/18,4Y,Swap,USD,0.02427,6M,act/365
2018/1/18,5Y,Swap,USD,0.02468,6M,act/365
2018/1/18,6Y,Swap,USD,0.02504,6M,act/365
2018/1/18,7Y,Swap,USD,0.02536,6M,act/365
2018/1/18,8Y,Swap,USD,0.02565,6M,act/365
2018/1/18,9Y,Swap,USD,0.02591,6M,act/365
2018/1/18,10Y,Swap,USD,0.02615,6M,act/365
2018/1/18,15Y,Swap,USD,0.0269,6M,act/365
2018/1/18,20Y,Swap,USD,0.02722,6M,act/365
2018/1/18,30Y,Swap,USD,0.02715,6M,act/365
2018/1/18,O/N,Money Market,JPY,0.014375,None,act/365
2018/1/18,1W,Money Market,JPY,0.0146533,None,act/365
2018/1/18,1M,Money Market,JPY,0.0156118,None,act/365
2018/1/18,2M,Money Market,JPY,0.0163482,None,act/365
2018/1/18,3M,Money Market,JPY,0.017447,None,act/365
2018/1/18,6M,Money Market,JPY,0.019255,None,act/365
2018/1/18,1Y,Money Market,JPY,0.02045,3M,act/365
2018/1/18,2Y,Swap,JPY,0.02257,3M,act/365
2018/1/18,3Y,Swap,JPY,0.02366,3M,act/365
2018/1/18,4Y,Swap,JPY,0.02427,3M,act/365
2018/1/18,5Y,Swap,JPY,0.02468,3M,act/365
2018/1/18,6Y,Swap,JPY,0.02504,3M,act/365
2018/1/18,7Y,Swap,JPY,0.02536,3M,act/365
2018/1/18,8Y,Swap,JPY,0.02565,3M,act/365
2018/1/18,9Y,Swap,JPY,0.02591,3M,act/365
2018/1/18,10Y,Swap,JPY,0.02615,3M,act/365
2018/1/18,15Y,Swap,JPY,0.0269,3M,act/365
2018/1/18,20Y,Swap,JPY,0.02722,3M,act/365
2018/1/18,30Y,Swap,JPY,0.02715,3M,act/365
