,fixing_date,start_date,end_date,DF_start_date,DF_end_date,dcf,dcf * DF,annuity
0,2018/8/8,2018/8/10,2019/2/10,0.999683312,0.986773369,0.511111111,0.504350833,8.703936856
1,2019/2/8,2019/2/10,2019/8/10,0.986773369,0.973013018,0.502777778,0.489209323,
2,2019/8/8,2019/8/10,2020/2/10,0.973013018,0.958135457,0.511111111,0.489713678,
3,2020/2/8,2020/2/10,2020/8/10,0.958135457,0.943408166,0.505555556,0.476945239,
4,2020/8/8,2020/8/10,2021/2/10,0.943408166,0.928863859,0.511111111,0.474752639,
5,2021/2/8,2021/2/10,2021/8/10,0.928863859,0.914956857,0.502777778,0.460019975,
6,2021/8/8,2021/8/10,2022/2/10,0.914956857,0.901094756,0.511111111,0.460559542,
7,2022/2/8,2022/2/10,2022/8/10,0.901094756,0.887700288,0.502777778,0.446315978,
8,2022/8/8,2022/8/10,2023/2/10,0.887700288,0.874315861,0.511111111,0.446872551,
9,2023/2/8,2023/2/10,2023/8/10,0.874315861,0.861352357,0.502777778,0.433068824,
10,2023/8/8,2023/8/10,2024/2/10,0.861352357,0.848343839,0.511111111,0.433597962,
11,2024/2/8,2024/2/10,2024/8/10,0.848343839,0.835621287,0.505555556,0.422452984,
12,2024/8/8,2024/8/10,2025/2/10,0.835621287,0.822888811,0.511111111,0.420587615,
13,2025/2/8,2025/2/10,2025/8/10,0.822888811,0.810504499,0.502777778,0.407503651,
14,2025/8/8,2025/8/10,2026/2/10,0.810504499,0.798070916,0.511111111,0.407902913,
15,2026/2/8,2026/2/10,2026/8/10,0.798070916,0.78596659,0.502777778,0.395166536,
16,2026/8/8,2026/8/10,2027/2/10,0.78596659,0.773757671,0.511111111,0.395476143,
17,2027/2/8,2027/2/10,2027/8/10,0.773757671,0.761840663,0.502777778,0.383036556,
18,2027/8/8,2027/8/10,2028/2/10,0.761840663,0.74983492,0.511111111,0.383248959,
19,2028/2/8,2028/2/10,2028/8/10,0.74983492,0.738108701,0.505555556,0.373154955,
