Date,Product,Tenor,Currency,Rate,lag(day),Frequency(month),Dcc
2018/9/28,LIBOR,O/N,USD,0.0217138,2,,ACT/360
2018/9/28,LIBOR,1W,USD,0.0219863,2,,ACT/360
2018/9/28,LIBOR,1M,USD,0.0226056,2,,ACT/360
2018/9/28,LIBOR,2M,USD,0.0231075,2,,ACT/360
2018/9/28,LIBOR,3M,USD,0.0239838,2,,ACT/360
2018/9/28,LIBOR,6M,USD,0.0260388,2,,ACT/360
2018/9/28,LIBOR,9M,USD,0.027883168,2,,ACT/360
2018/9/28,SWAP,1Y,USD,0.0291863,2,3,ACT/360
2018/9/28,SWAP,2Y,USD,0.02983,2,3,ACT/360
2018/9/28,SWAP,3Y,USD,0.0304,2,3,ACT/360
2018/9/28,SWAP,4Y,USD,0.03057,2,3,ACT/360
2018/9/28,SWAP,5Y,USD,0.03062,2,3,ACT/360
2018/9/28,SWAP,6Y,USD,0.03068,2,3,ACT/360
2018/9/28,SWAP,7Y,USD,0.03076,2,3,ACT/360
2018/9/28,SWAP,8Y,USD,0.03087,2,3,ACT/360
2018/9/28,SWAP,9Y,USD,0.03098,2,3,ACT/360
2018/9/28,SWAP,10Y,USD,0.0311,2,3,ACT/360
2018/9/28,SWAP,15Y,USD,0.03146,2,3,ACT/360
2018/9/28,SWAP,20Y,USD,0.03151,2,3,ACT/360
2018/9/28,SWAP,30Y,USD,0.03121,2,3,ACT/360
